1	25.0403	12.6031	2.7582	22.4727	24.5749	0.937096	26.3755	
2	22.0766	10.5763	3.00684	21.4998	27.5332	4.19406	26.4874	
3	19.295	9.38231	5.13109	23.5126	27.6597	4.3661	26.4102	
4	22.7977	11.2254	2.4147	23.0846	27.6875	2.26539	26.1912	
5	24.9015	12.2307	2.27257	21.5649	26.4612	3.08928	26.2528	
6	26.0221	12.6776	2.34042	21.4085	24.7249	1.92606	26.3292	
7	24.6014	9.34288	2.61692	22.1465	25.1941	0.940189	26.207	
8	22.8371	7.85186	0.733541	21.3014	24.4658	2.89785	26.811	
9	20.1258	13.1274	-0.911375	22.3229	28.8355	0.133446	26.2623	
10	22.0212	11.8497	4.87554	22.7846	28.1308	5.00943	26.5759	
11	23.0228	10.4127	6.19399	22.4254	26.4741	1.67663	26.6164	
12	25.8377	9.48805	2.61313	22.2406	26.3637	2.33865	26.5507	
13	25.0387	11.8949	1.88804	22.3588	25.0709	2.58865	26.414	
14	22.9843	11.6501	3.82684	21.8938	27.471	2.74053	26.3358	
15	19.0787	8.70904	3.27215	22.1838	28.5806	1.61769	26.4566	
16	21.3324	11.8093	4.26027	22.8251	30.3546	4.28973	26.6279	
17	23.5856	14.3482	4.5886	22.4116	27.0311	1.44107	26.2888	
18	25.3202	9.79696	3.68708	21.8357	26.668	-0.369352	26.6627	
19	25.3491	8.06362	7.68443	22.8694	24.5064	2.63234	26.517	
20	24.0676	11.6878	4.17088	23.4305	27.0202	-0.76257	26.3563	
21	20.9288	12.2151	1.92362	21.8145	27.9777	1.64358	26.4868	
22	21.5107	12.3331	2.01189	21.6791	28.9946	0.608565	26.3871	
23	23.118	8.30125	1.66798	21.8599	27.7303	0.665372	26.5402	
24	25.7675	9.61368	5.39617	21.3956	26.0765	4.00343	26.4608	
25	25.9456	10.5626	0.951189	22.0836	24.9598	3.00166	26.4734	
26	23.3148	7.67723	1.15206	21.738	22.82	1.41667	26.5739	
27	22.1366	11.2863	2.69651	22.2439	27.275	0.987154	26.3248	
28	21.7597	10.5837	3.80513	22.8869	27.8596	4.84818	26.247	
29	23.5181	12.5103	6.10645	22.9059	27.8175	2.93853	26.4784	
30	25.0839	9.08397	3.57791	22.7728	25.8176	4.75315	26.0962	
31	25.5499	11.0061	3.32117	21.4349	25.0349	0.868395	26.4215	
